OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00057009,15.38461538,7.95,2.31,0.31,0.00,11.19,2.45
E00057010,6.12244898,9.73,8.04,0.00,1.95,7.14,2.33
E00057011,9.042553191,7.44,7.76,0.93,0.00,2.66,1.40
E00057012,23.40425532,7.60,3.77,0.00,0.00,12.77,1.75
E00057013,13.51351351,5.04,3.13,0.00,0.00,17.57,5.04
E00057014,4.316546763,9.35,4.76,0.24,0.00,35.25,12.47
E00057015,16.66666667,7.39,5.62,0.39,0.00,23.91,5.84
E00057016,10.71428571,4.37,8.82,0.00,0.00,9.29,2.62
E00057017,8.8,3.88,7.41,0.65,0.00,20.80,6.15
E00057018,13.51351351,4.94,11.38,0.82,0.00,2.70,0.41
E00057019,4.761904762,8.55,10.20,0.66,0.00,6.12,3.29
E00057020,17.80821918,8.15,6.25,0.00,0.00,30.14,8.15
E00057021,7.258064516,4.15,8.28,0.35,0.00,4.03,1.38
E00057022,9.6,6.60,6.71,0.00,0.00,5.60,1.04
E00057023,18.43971631,7.05,5.38,0.32,0.00,22.70,8.33
E00057024,9.150326797,12.80,12.21,2.44,0.00,6.54,0.30
E00057025,5,5.25,8.81,0.00,0.00,6.67,1.31
E00057026,3.2,8.79,8.33,0.00,0.00,4.80,1.63
E00057027,3.225806452,8.72,7.23,0.00,0.00,21.94,9.23
E00057028,16,6.62,8.51,0.00,0.00,8.00,5.36
E00057029,9.803921569,3.72,5.36,0.27,0.00,23.53,7.98
E00057030,5.095541401,12.72,8.99,0.00,0.00,13.38,2.63
E00057031,10,7.72,6.52,0.00,0.00,5.83,1.34
E00057032,20.40816327,13.62,6.90,1.03,0.00,10.88,1.54
E00057033,2.721088435,18.48,4.35,0.47,0.00,12.24,7.11
E00057034,4.975124378,10.41,5.53,0.73,0.00,10.95,2.66
E00057035,12.40310078,7.32,10.07,0.28,0.00,4.65,4.23
E00057036,5.839416058,10.72,3.42,0.00,0.00,10.95,7.24
E00057037,15.78947368,10.51,7.56,0.60,0.00,12.03,2.40
E00057038,20.28985507,10.75,8.47,0.30,0.00,3.62,2.09
E00057039,9.230769231,11.92,14.44,1.15,0.00,11.54,2.69
E00057040,4.347826087,16.44,10.32,3.69,8.72,6.96,3.36
E00057041,7.96460177,5.00,5.93,1.67,0.00,1.77,3.00
E00057042,17.54385965,11.36,8.65,0.65,0.00,9.65,0.65
E00057043,23.62204724,12.03,10.00,0.34,0.00,7.87,1.37
E00057044,4.237288136,6.46,16.43,1.14,0.00,3.39,1.52
E00057045,17.74193548,6.16,5.26,0.00,0.00,9.68,1.37
E00057046,11.96581197,6.94,7.25,0.00,0.00,2.56,2.08
E00057047,12.61261261,6.85,5.45,0.34,0.00,6.31,4.11
E00057048,25,6.72,5.71,0.00,0.00,13.24,1.00
E00057049,19.84732824,10.63,6.30,0.25,0.00,10.69,1.52
E00057050,3.787878788,13.04,7.63,0.00,0.00,3.79,0.40
E00057051,6.046511628,4.82,7.89,0.44,0.00,7.44,0.22
